Num,Question
1,你们学校是一所什么样的大学？
2,学校类别是什么？
3,校长是谁？
4,学校所在城市气候怎么样？
5,学校环境怎么样？
6,可以来学校参观吗？
7,学校周边环境怎么样？
8,学校的占地面积有多大？
9,学校有几个校区，地址在哪？
10,学校近期是否会搬校区？
11,学校有多少在校生？
12,学校官方网址是什么？
13,学校招生网址是多少？
14,学校招生办公室的上班时间？
15,学校招生办的联系方式？
16,招生热线免费吗？
17,有招生咨询QQ吗？
18,教务处的电话是多少？
19,学生处的电话是？
20,学校有哪些特色的校园文化活动？
21,学校有开放日吗？
22,学校有哪些社团？
23,学校的师资力量如何？
24,学校的教学基础设施怎么样？
25,学校教学楼有电梯吗？
26,图书馆有多大？
27,图书馆对外开放吗？
28,学校有游泳馆吗？
29,有篮球馆吗？
30,学校的校园风气怎么样？
31,学校有哪些科研成果？
32,有博士硕士点吗？
33,学校设有哪些学院？
34,学校允许修双学位吗？
35,副修可以拿学位么？
36,学校奖学金有哪几类？
37,在校生出国留学交流的机会多吗？
38,学校有外国学生吗？
39,学校男女比例如何?
40,入学后能转专业吗？需要什么样的条件？
41,贵校的学生在大学期间有几次调专业机会？ 
42,转专业要花钱吗？ 
43,各专业简介？ 
44,学校理科专业都有哪些？ 
45,学校文科专业都有哪些？ 
46,文理兼收的专业有哪些？ 
47,贵校哪些专业适合女生报考？ 
48,什么是GPA？
49,学校能保研吗？ 
50,各专业都可以报考研究生吗？
51,学校的考研录取率是多少？
52,毕业后拿到的是什么文凭？
53,校园兼职多吗？ 
54,校园招聘多吗？
55,应届毕业生的就业情况如何？
56,各学院在哪个校区？
57,学校开设了哪些专业？
58,学校有哪些优势专业？
59,海南省新生入学奖学金获奖条件？
60,浙江省新生入学奖学金获奖条件？
61,江苏省新生入学奖学金获奖条件？
62,山东省新生入学奖学金获奖条件？
63,上海市新生入学奖学金获奖条件？
64,其它750分满分的省、市、区新生入学奖学金获奖条件？
65,华信奖学金获得要求是什么？
66,广东提前一批全额奖学金获得要求是什么？
67,广东提前一批半额奖学金获得要求是什么？
68,珠海籍新生奖学金获得要求是什么？
69,广东综合评价录取奖学金获得要求是什么？
70,奖学金续得有什么要求？
71,UIC设有哪些在校奖助学金？
72,专业及课程如何设置？
73,教学质量怎样保证？
74,贵校颁发的香港浸会大学的学士学位证为什么有“荣誉”二字？
75, UIC的教育模式是怎样的？
76,什么是博雅教育？
77,什么是全人教育？
78,什么是四维教育？
79,学生入读后能否适应UIC的全英文教学环境？
80,舍堂（UIC宿舍）的管理情况怎么样?
81,学校提供哪些辅导及个人成长帮助?
82,出国的途径有哪些？
83,学校是2+2吗？
84,副修课程有哪些？
85,在UIC可修读什么小语种？
86,UIC暑期多久？
87,什么是暑期课程？
88,海外暑期课程有哪些国家？
89,海外暑期课程有哪些学校？
90,海外暑期课程学习多久？
91,海外暑期课程费用多少？
92,海外暑期课程有学分吗？可以转学分吗？
93,暑期课程是必须参加的吗？
94,在UIC暑假，学生只是去修暑期课程吗？
95,交换生项目有哪些国家、学校？
96,大几可申请交换生？
97,申请交换生什么条件？
98,交换生可以出去学习多久？
99,交换生的费用？
100,为什么要申请交换生？
101,交换生的名额？
102,UIC管理严格吗？
103,出勤率规定？
104,学生会被退学吗？
105,GPA是怎么计算的？
106,UIC评分体系？
107,毕业证书学分要求？
108,学位证书成绩要求？
109,学位证书等级分类？
110,会计学专业的专业认证是指什么？
111,UIC的课程结构和国内的大学有差别吗？
112,同学在校期间可以去香港浸会大学吗？
113,大几可参加HKBU暑期课程？
114,香港浸会大学暑期课程报名绩点要求？
115,香港浸会大学暑期课程费用大概多少？
116,香港浸会大学暑期课程学习多久？
117,香港浸会大学暑期课程学分可转吗？
118,学生申请香港浸会大学研究生有优势吗？
119,毕业生去海外读研的多吗？
120,申请海外研究生学校会提供帮助吗？
